state,fips,STATEFP,postal_code
Alabama,1,1,AL
Alaska,2,2,AK
Arizona,4,4,AZ
Arkansas,5,5,AR
California,6,6,CA
Colorado,8,8,CO
Connecticut,9,9,CT
Delaware,10,10,DE
District of Columbia,11,11,DC
Florida,12,12,FL
Georgia,13,13,GA
Hawaii,15,15,HI
Idaho,16,16,ID
Illinois,17,17,IL
Indiana,18,18,IN
Iowa,19,19,IA
Kansas,20,20,KS
Kentucky,21,21,KY
Louisiana,22,22,LA
Maine,23,23,ME
Maryland,24,24,MD
Massachusetts,25,25,MA
Michigan,26,26,MI
Minnesota,27,27,MN
Mississippi,28,28,MS
Missouri,29,29,MO
Montana,30,30,MT
Nebraska,31,31,NE
Nevada,32,32,NV
New Hampshire,33,33,NH
New Jersey,34,34,NJ
New Mexico,35,35,NM
New York,36,36,NY
North Carolina,37,37,NC
North Dakota,38,38,ND
Ohio,39,39,OH
Oklahoma,40,40,OK
Oregon,41,41,OR
Pennsylvania,42,42,PA
Rhode Island,44,44,RI
South Carolina,45,45,SC
South Dakota,46,46,SD
Tennessee,47,47,TN
Texas,48,48,TX
Utah,49,49,UT
Vermont,50,50,VT
Virginia,51,51,VA
Washington,53,53,WA
West Virginia,54,54,WV
Wisconsin,55,55,WI
Wyoming,56,56,WY
