id,congress_name,election_year,start_date,end_date
57,57th Congress,1900,2001-03-04,2003-03-03
58,58th Congress,1902,2003-03-04,2005-03-03
59,59th Congress,1904,2005-03-04,2007-03-03
60,60th Congress,1906,2007-03-04,2009-03-03
61,61st Congress,1908,2009-03-04,2011-03-03
62,62nd Congress,1910,2011-03-04,2013-03-03
63,63rd Congress,1912,2013-03-04,2015-03-03
64,64th Congress,1914,2015-03-04,2017-03-03
65,65th Congress,1916,2017-03-04,2019-03-03
66,66th Congress,1918,2019-03-04,2021-03-03
67,67th Congress,1920,2021-03-04,2023-03-03
68,68th Congress,1922,2023-03-04,2025-03-03
69,69th Congress,1924,2025-03-04,2027-03-03
70,70th Congress,1926,2027-03-04,2029-03-03
71,71st Congress,1928,2029-03-04,1931-03-03
72,72nd Congress,1930,1931-03-04,1933-03-03
73,73rd Congress,1932,1933-03-04,1935-01-03
74,74th Congress,1934,1935-01-03,1937-01-03
75,75th Congress,1936,1937-01-03,1939-01-03
76,76th Congress,1938,1939-01-03,1941-01-03
77,77th Congress,1940,1941-01-03,1943-01-03
78,78th Congress,1942,1943-01-03,1945-01-03
79,79th Congress,1944,1945-01-03,1947-01-03
80,80th Congress,1946,1947-01-03,1949-01-03
81,81st Congress,1948,1949-01-03,1951-01-03
82,82nd Congress,1950,1951-01-03,1953-01-03
83,83rd Congress,1952,1953-01-03,1955-01-03
84,84th Congress,1954,1955-01-03,1957-01-03
85,85th Congress,1956,1957-01-03,1959-01-03
86,86th Congress,1958,1959-01-03,1961-01-03
87,87th Congress,1960,1961-01-03,1963-01-03
88,88th Congress,1962,1963-01-03,1965-01-03
89,89th Congress,1964,1965-01-03,1967-01-03
90,90th Congress,1966,1967-01-03,1969-01-03
91,91st Congress,1968,1969-01-03,1971-01-03
92,92nd Congress,1970,1971-01-03,1973-01-03
93,93rd Congress,1972,1973-01-03,1975-01-03
94,94th Congress,1974,1975-01-03,1977-01-03
95,95th Congress,1976,1977-01-03,1979-01-03
96,96th Congress,1978,1979-01-03,1981-01-03
97,97th Congress,1980,1981-01-03,1983-01-03
98,98th Congress,1982,1983-01-03,1985-01-03
99,99th Congress,1984,1985-01-03,1987-01-03
100,100th Congress,1986,1987-01-03,1989-01-03
101,101st Congress,1988,1989-01-03,1991-01-03
102,102nd Congress,1990,1991-01-03,1993-01-03
103,103rd Congress,1992,1993-01-03,1995-01-03
104,104th Congress,1994,1995-01-03,1997-01-03
105,105th Congress,1996,1997-01-03,1999-01-03
106,106th Congress,1998,1999-01-03,2001-01-03
107,107th Congress,2000,2001-01-03,2003-01-03
108,108th Congress,2002,2003-01-03,2005-01-03
109,109th Congress,2004,2005-01-03,2007-01-03
110,110th Congress,2006,2007-01-03,2009-01-03
111,111th Congress,2008,2009-01-03,2011-01-03
112,112th Congress,2010,2011-01-03,2013-01-03
113,113th Congress,2012,2013-01-03,2015-01-03
114,114th Congress,2014,2015-01-03,2017-01-03
115,115th Congress,2016,2017-01-03,2019-01-03
116,116th Congress,2018,2019-01-03,2021-01-03
117,117th Congress,2020,2021-01-03,2023-01-03
